word,zipf_frequency
AAHED,0.000
AALII,0.000
ABACS,0.000
ABAKA,0.000
ABAMP,0.000
ABASK,0.000
ABBED,0.000
ABCEE,0.000
ABEAR,0.000
ABLET,0.000
ABMHO,0.000
ABOHM,0.000
ABOIL,0.000
ABOMA,0.000
ABOON,0.000
ABORE,0.000
ABRAY,0.000
ABRIM,0.000
ABRIS,0.000
ABSEY,0.000
ABSIT,0.000
ABYES,0.000
ABYSM,0.000
ACAIS,0.000
ACCAS,0.000
ACCOY,0.000
ACERB,0.000
ACETA,0.000
ACIDY,0.000
ACMES,0.000
ACMIC,0.000
ACNED,0.000
ACOLD,0.000
ACRED,0.000
ACYLS,0.000
ADAWS,0.000
ADBOT,0.000
ADEEM,0.000
ADMIX,0.000
ADOZE,0.000
ADRAD,0.000
ADRED,0.000
ADSUM,0.000
ADUKI,0.000
ADUNC,0.000
ADUST,0.000
ADVEW,0.000
ADYTA,0.000
ADZED,0.000
AECIA,0.000
AFALD,0.000
AFARA,0.000
AFEAR,0.000
AFLAJ,0.000
AFRIT,0.000
AGARS,0.000
AGAST,0.000
AGAZE,0.000
AGENE,0.000
AGGRI,0.000
AGGRY,0.000
AGHAS,0.000
AGISM,0.000
AGIST,0.000
AGLEE,0.000
AGLEY,0.000
AGLOO,0.000
AGLUS,0.000
AGMAS,0.000
AGONS,0.000
AGUED,0.000
AGUES,0.000
AGUNA,0.000
AGUTI,0.000
AHEAP,0.000
AHENT,0.000
AHIND,0.000
AHING,0.000
AHINT,0.000
AHULL,0.000
AHURU,0.000
AIDAS,0.000
AIDOI,0.000
AIDOS,0.000
AIERY,0.000
AIGAS,0.000
AINEE,0.000
AINGA,0.000
AIRNS,0.000
AIRTS,0.000
AITUS,0.000
AIVER,0.000
AIYEE,0.000
AIZLE,0.000
AJIES,0.000
AJIVA,0.000
AJWAN,0.000
AKEES,0.000
AKENE,0.000
AKKAS,0.000
ALAAP,0.000
ALANT,0.000
ALAPA,0.000
ALAPS,0.000
ALAYS,0.000
ALCID,0.000
ALCOS,0.000
ALEFS,0.000
ALEFT,0.000
ALEWS,0.000
ALEYE,0.000
ALGAS,0.000
ALGID,0.000
ALGIN,0.000
ALGUM,0.000
ALIFS,0.000
ALKIE,0.000
ALKOS,0.000
ALLEL,0.000
ALLOD,0.000
ALMEH,0.000
